Metric,Q1_Mar2026,FY_Dec2025,Q4_Dec2025,Q3_Sep2025,Q2_Jun2025,Q1_Mar2025,FY_Dec2024,Q4_Dec2024,Q3_Sep2024,Q2_Jun2024,Q1_Mar2024,FY_Dec2023,Q4_Dec2023,Q3_Sep2023,Q2_Jun2023,Q1_Mar2023,FY_Dec2022,Q4_Dec2022,Q3_Sep2022,Q2_Jun2022
Long term accounts payable and other payables,39.41M,40.13M,40.13M,38.87M,34.76M,14.75M,10.06M,10.06M,10.44M,7.07M,7.69M,1.34M,1.34M,1.53M,1.29M,1.96M,2.32M,2.32M,2.58M,3.08M
Non current deferred liabilities,194.4M,197.49M,197.49M,201.24M,205.95M,160M,152.54M,152.54M,149.46M,147.9M,150.08M,139.61M,139.61M,141.63M,149.93M,156.72M,153.21M,153.21M,149.74M,147.61M
Other non current liabilities,70.68M,63.99M,63.99M,49.92M,51.24M,46.18M,39.19M,39.19M,37.61M,36.4M,34.08M,27.18M,27.18M,23.91M,23.73M,24.01M,23.43M,23.43M,21.78M,18.53M
Total non current liabilities,722.49M,716.27M,716.27M,695.05M,700.7M,329.96M,304.29M,304.29M,293.55M,322.73M,297.57M,274.27M,274.27M,270.2M,280.43M,264.26M,256.87M,256.87M,319.23M,342.32M
Total liabilities,1.75B,1.73B,1.73B,1.73B,1.5B,1.33B,1B,1B,1.04B,1.09B,1.19B,840.3M,840.3M,847.89M,936.14M,941.37M,827.01M,827.01M,853.53M,887.1M
Share capital,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M
  common stock,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M,39.41M
  Preferred stock,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0
Retained earnings,343.91M,309.8M,309.8M,260.4M,338.6M,291.06M,266.28M,266.28M,232.8M,208.99M,192.14M,297.38M,297.38M,273.52M,255.53M,240.82M,226.92M,226.92M,205.81M,192.97M
Gains losses not affecting retained earnings,127.33M,124.61M,124.61M,122.41M,125.67M,98.78M,5.58M,5.58M,2.65M,3.67M,3.02M,2.39M,2.39M,839K,851K,-469K,-232K,-232K,1.83M,1.58M
Total stockholders'equity,510.65M,473.82M,473.82M,422.22M,503.68M,429.25M,311.28M,311.28M,274.86M,252.07M,234.56M,339.18M,339.18M,313.77M,295.79M,279.76M,266.1M,266.1M,247.05M,233.96M
Noncontrolling interests,326.58M,307.99M,307.99M,276.27M,322.69M,286.1M,220.12M,220.12M,195.53M,184.8M,186.08M,253.3M,253.3M,238.46M,218.26M,208.38M,201.69M,201.69M,197.49M,181.52M
Total equity,837.23M,781.81M,781.81M,698.49M,826.36M,715.36M,531.4M,531.4M,470.39M,436.87M,420.65M,592.48M,592.48M,552.23M,514.05M,488.14M,467.78M,467.78M,444.54M,415.48M
